[root@rh7-ocp3-mst01 ~]# oc get all --all-namespaces
NAMESPACE                           NAME                                               READY     STATUS      RESTARTS   AGE
openshift-monitoring                pod/prometheus-k8s-1                               4/4       Running     2          8h
openshift-monitoring                pod/prometheus-operator-68d9c544f8-bpw4t           1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-5dprp                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-5t6pm                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-8kxls                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-8rf5f                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-99cvv                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-cx7zb                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-dqf78                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-ffxwh                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-fjzzq                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-fw6s4                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-h8hfv                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-mq9zc                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-qlq2t                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-qw7f7                    1/1       Running     0          1d
openshift-node-problem-detector     pod/node-problem-detector-rczw9                    1/1       Running     0          1d
openshift-node                      pod/sync-42rgb                                     1/1       Running     0          2d
openshift-node                      pod/sync-58ctp                                     1/1       Running     0          2d
openshift-node                      pod/sync-95ngq                                     1/1       Running     0          2d
openshift-node                      pod/sync-bncmk                                     1/1       Running     0          2d
openshift-node                      pod/sync-g4mwg                                     1/1       Running     0          2d
openshift-node                      pod/sync-lwzwg                                     1/1       Running     0          2d
openshift-node                      pod/sync-njsrt                                     1/1       Running     0          2d
openshift-node                      pod/sync-nx89v                                     1/1       Running     0          2d
openshift-node                      pod/sync-p7272                                     1/1       Running     0          2d
openshift-node                      pod/sync-qk2h7                                     1/1       Running     0          2d
openshift-node                      pod/sync-sr48v                                     1/1       Running     0          2d
openshift-node                      pod/sync-xzspq                                     1/1       Running     0          2d
openshift-node                      pod/sync-z6gcp                                     1/1       Running     0          2d
openshift-node                      pod/sync-z99wg                                     1/1       Running     0          2d
openshift-node                      pod/sync-zhsm9                                     1/1       Running     0          2d
openshift-sdn                       pod/ovs-99kk9                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-9rldz                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-b7x72                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-cc4gs                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-fd9rp                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-frbcj                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-g5ngm                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-hz6wd                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-k5mkk                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-knw4f                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-scn8s                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-tc9vq                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-vlh9x                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-wtndx                                      1/1       Running     0          2d
openshift-sdn                       pod/ovs-zpnsz                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-22nz4                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-6txd2                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-7djp7                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-9gmjs                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-blbqf                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-d9ss7                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-h6g5b                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-h7lpg                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-jnh4v                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-mcnxl                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-mg6sf                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-nnsqt                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-qjtkk                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-spdrd                                      1/1       Running     0          2d
openshift-sdn                       pod/sdn-zqjhz                                      1/1       Running     0          2d
openshift-template-service-broker   pod/apiserver-c4n9m                                1/1       Running     0          1d
openshift-template-service-broker   pod/apiserver-j64g4                                1/1       Running     0          1d
openshift-template-service-broker   pod/apiserver-pktg5                                1/1       Running     0          1d
openshift-web-console               pod/webconsole-77cc79865f-dnhxm                    1/1       Running     2          1h
openshift-web-console               pod/webconsole-77cc79865f-fj77h                    1/1       Running     6          1d
openshift-web-console               pod/webconsole-77cc79865f-nmbcc                    1/1       Running     6          1d
operator-lifecycle-manager          pod/catalog-operator-b998cf7d9-8whg8               1/1       Running     0          1d
operator-lifecycle-manager          pod/olm-operator-65598d48c4-gs69c                  1/1       Running     0          1d

NAMESPACE                          NAME                                                           DESIRED   CURRENT   READY     AGE
app-storage                        replicationcontroller/glusterblock-storage-provisioner-dc-1    1         1         1         1d
app-storage                        replicationcontroller/heketi-storage-1                         1         1         1         1d
default                            replicationcontroller/docker-registry-1                        0         0         0         2d
default                            replicationcontroller/docker-registry-2                        1         1         1         1d
default                            replicationcontroller/registry-console-1                       0         0         0         2d
default                            replicationcontroller/registry-console-2                       1         1         1         1d
default                            replicationcontroller/router-1                                 0         0         0         2d
default                            replicationcontroller/router-2                                 3         3         3         1d
infra-storage                      replicationcontroller/glusterblock-registry-provisioner-dc-1   1         1         1         1d
infra-storage                      replicationcontroller/heketi-registry-1                        1         1         1         1d
openshift-ansible-service-broker   replicationcontroller/asb-1                                    1         1         1         1d
openshift-infra                    replicationcontroller/hawkular-cassandra-1                     1         1         1         58m
openshift-infra                    replicationcontroller/hawkular-metrics                         1         1         1         58m
openshift-infra                    replicationcontroller/heapster                                 1         1         1         58m
openshift-logging                  replicationcontroller/logging-es-data-master-bwqiivte-3        1         1         1         25m
openshift-logging                  replicationcontroller/logging-es-data-master-lw48dkwh-2        1         1         1         28m
openshift-logging                  replicationcontroller/logging-es-data-master-qse0y0p3-2        1         1         1         28m
openshift-logging                  replicationcontroller/logging-kibana-1                         1         1         1         1d

NAMESPACE                           NAME                                   TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                               AGE
app-storage                         service/heketi-db-storage-endpoints    ClusterIP   172.30.6.68      <none>        1/TCP                                 1d
app-storage                         service/heketi-storage                 ClusterIP   172.30.117.127   <none>        8080/TCP                              1d
default                             service/docker-registry                ClusterIP   172.30.112.91    <none>        5000/TCP                              2d
default                             service/glusterfs-registry-endpoints   ClusterIP   172.30.184.197   <none>        1/TCP                                 1d
default                             service/kubernetes                     ClusterIP   172.30.0.1       <none>        443/TCP,53/UDP,53/TCP                 2d
default                             service/registry-console               ClusterIP   172.30.214.133   <none>        9000/TCP                              2d
default                             service/router                         ClusterIP   172.30.49.90     <none>        80/TCP,443/TCP,1936/TCP               2d
infra-storage                       service/heketi-db-registry-endpoints   ClusterIP   172.30.26.186    <none>        1/TCP                                 1d
infra-storage                       service/heketi-registry                ClusterIP   172.30.202.214   <none>        8080/TCP                              1d
kube-service-catalog                service/apiserver                      ClusterIP   172.30.159.34    <none>        443/TCP                               2d
kube-service-catalog                service/controller-manager             ClusterIP   172.30.65.34     <none>        443/TCP                               2d
kube-system                         service/kube-controllers               ClusterIP   None             <none>        8444/TCP                              2d
kube-system                         service/kubelet                        ClusterIP   None             <none>        10250/TCP                             2d
openshift-ansible-service-broker    service/asb                            ClusterIP   172.30.3.42      <none>        1338/TCP,1337/TCP                     2d
openshift-console                   service/console                        ClusterIP   172.30.238.215   <none>        443/TCP                               2d
openshift-infra                     service/hawkular-cassandra             ClusterIP   172.30.12.161    <none>        9042/TCP,9160/TCP,7000/TCP,7001/TCP   58m
openshift-infra                     service/hawkular-cassandra-nodes       ClusterIP   None             <none>        9042/TCP,9160/TCP,7000/TCP,7001/TCP   58m
openshift-infra                     service/hawkular-metrics               ClusterIP   172.30.118.174   <none>        443/TCP                               58m
openshift-infra                     service/heapster                       ClusterIP   172.30.233.110   <none>        80/TCP                                58m
openshift-logging                   service/logging-es                     ClusterIP   172.30.203.131   <none>        9200/TCP                              1d
openshift-logging                   service/logging-es-cluster             ClusterIP   None             <none>        9300/TCP                              1d
openshift-logging                   service/logging-es-prometheus          ClusterIP   172.30.22.81     <none>        443/TCP                               1d
openshift-logging                   service/logging-kibana                 ClusterIP   172.30.8.44      <none>        443/TCP                               1d
openshift-metrics-server            service/metrics-server                 ClusterIP   172.30.147.49    <none>        443/TCP                               1d
openshift-monitoring                service/alertmanager-main              ClusterIP   172.30.25.208    <none>        9094/TCP                              2d
openshift-monitoring                service/alertmanager-operated          ClusterIP   None             <none>        9093/TCP,6783/TCP                     2d
openshift-monitoring                service/cluster-monitoring-operator    ClusterIP   None             <none>        8080/TCP                              2d
openshift-monitoring                service/grafana                        ClusterIP   172.30.141.11    <none>        3000/TCP                              2d
openshift-monitoring                service/kube-state-metrics             ClusterIP   None             <none>        8443/TCP,9443/TCP                     2d
openshift-monitoring                service/node-exporter                  ClusterIP   None             <none>        9100/TCP                              2d
openshift-monitoring                service/prometheus-k8s                 ClusterIP   172.30.67.144    <none>        9091/TCP                              2d
openshift-monitoring                service/prometheus-operated            ClusterIP   None             <none>        9090/TCP                              2d
openshift-monitoring                service/prometheus-operator            ClusterIP   None             <none>        8080/TCP                              2d
openshift-template-service-broker   service/apiserver                      ClusterIP   172.30.199.165   <none>        443/TCP                               2d
openshift-web-console               service/webconsole                     ClusterIP   172.30.199.177   <none>        443/TCP                               2d

NAMESPACE                           NAME                                   DESIRED   CURRENT   READY     UP-TO-DATE   AVAILABLE   NODE SELECTOR                         AGE
app-storage                         daemonset.apps/glusterfs-storage       3         3         3         3            3           glusterfs=storage-host                1d
infra-storage                       daemonset.apps/glusterfs-registry      3         3         3         3            3           glusterfs=registry-host               1d
kube-service-catalog                daemonset.apps/apiserver               3         3         3         3            3           node-role.kubernetes.io/master=true   2d
kube-service-catalog                daemonset.apps/controller-manager      3         3         3         3            3           node-role.kubernetes.io/master=true   2d
openshift-logging                   daemonset.apps/logging-fluentd         15        15        15        15           15          logging-infra-fluentd=true            1d
openshift-monitoring                daemonset.apps/node-exporter           15        15        15        15           15          beta.kubernetes.io/os=linux           2d
openshift-node-problem-detector     daemonset.apps/node-problem-detector   15        15        15        15           15          <none>                                1d
openshift-node                      daemonset.apps/sync                    15        15        15        15           15          <none>                                2d
openshift-sdn                       daemonset.apps/ovs                     15        15        15        0            15          <none>                                2d
openshift-sdn                       daemonset.apps/sdn                     15        15        15        0            15          <none>                                2d
openshift-template-service-broker   daemonset.apps/apiserver               3         3         3         3            3           node-role.kubernetes.io/master=true   2d

NAMESPACE                    NAME                                          DESIRED   CURRENT   UP-TO-DATE   AVAILABLE   AGE
openshift-console            deployment.apps/console                       3         3         3            3           2d
openshift-metrics-server     deployment.apps/metrics-server                1         1         1            1           1d
openshift-monitoring         deployment.apps/cluster-monitoring-operator   1         1         1            1           2d
openshift-monitoring         deployment.apps/grafana                       1         1         1            1           2d
openshift-monitoring         deployment.apps/kube-state-metrics            1         1         1            1           2d
openshift-monitoring         deployment.apps/prometheus-operator           1         1         1            1           2d
openshift-web-console        deployment.apps/webconsole                    3         3         3            3           2d
operator-lifecycle-manager   deployment.apps/catalog-operator              1         1         1            1           1d
operator-lifecycle-manager   deployment.apps/olm-operator                  1         1         1            1           1d

NAMESPACE                    NAME                                                     DESIRED   CURRENT   READY     AGE
openshift-console            replicaset.apps/console-58bc77f6f5                       3         3         3         1d
openshift-console            replicaset.apps/console-5cb49fc6c7                       0         0         0         2d
openshift-metrics-server     replicaset.apps/metrics-server-5b5f8bcdc8                1         1         1         1d
openshift-monitoring         replicaset.apps/cluster-monitoring-operator-74fb8b6dcf   0         0         0         2d
openshift-monitoring         replicaset.apps/cluster-monitoring-operator-bb9669487    1         1         1         1d
openshift-monitoring         replicaset.apps/grafana-6f8b8f5577                       1         1         1         1d
openshift-monitoring         replicaset.apps/grafana-857fc848bf                       0         0         0         2d
openshift-monitoring         replicaset.apps/kube-state-metrics-75c4d6dc              0         0         0         2d
openshift-monitoring         replicaset.apps/kube-state-metrics-7b8f7dfdff            1         1         1         1d
openshift-monitoring         replicaset.apps/prometheus-operator-68d9c544f8           1         1         1         1d
openshift-monitoring         replicaset.apps/prometheus-operator-7855c8646b           0         0         0         2d
openshift-web-console        replicaset.apps/webconsole-77cc79865f                    3         3         3         1d
openshift-web-console        replicaset.apps/webconsole-85494cdb8c                    0         0         0         2d
operator-lifecycle-manager   replicaset.apps/catalog-operator-b998cf7d9               1         1         1         1d
