[root@rh7-ocp3-mst01 ~]# oc get all --all-namespaces
NAMESPACE                           NAME                                               READY     STATUS      RESTARTS   AGE
openshift        imagestream.image.openshift.io/fis-karaf-openshift                            docker-registry.default.svc:5000/openshift/fis-karaf-openshift                            1.0,2.0                           2 days ago
openshift        imagestream.image.openshift.io/fuse-apicurito-generator                       docker-registry.default.svc:5000/openshift/fuse-apicurito-generator                       1.3,1.4,1.5 + 1 more...           2 days ago
openshift        imagestream.image.openshift.io/fuse7-console                                  docker-registry.default.svc:5000/openshift/fuse7-console                                  1.0,1.1,1.2 + 3 more...           2 days ago
openshift        imagestream.image.openshift.io/fuse7-eap-openshift                            docker-registry.default.svc:5000/openshift/fuse7-eap-openshift                            1.4,1.5,1.0 + 3 more...           2 days ago
openshift        imagestream.image.openshift.io/fuse7-java-openshift                           docker-registry.default.svc:5000/openshift/fuse7-java-openshift                           1.0,1.1,1.2 + 3 more...           2 days ago
openshift        imagestream.image.openshift.io/fuse7-karaf-openshift                          docker-registry.default.svc:5000/openshift/fuse7-karaf-openshift                          1.0,1.1,1.2 + 3 more...           2 days ago
openshift        imagestream.image.openshift.io/httpd                                          docker-registry.default.svc:5000/openshift/httpd                                          2.4,latest                        2 days ago
openshift        imagestream.image.openshift.io/java                                           docker-registry.default.svc:5000/openshift/java                                           8,latest                          2 days ago
openshift        imagestream.image.openshift.io/jboss-amq-62                                   docker-registry.default.svc:5000/openshift/jboss-amq-62                                   1.5,1.6,1.7 + 4 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-amq-63                                   docker-registry.default.svc:5000/openshift/jboss-amq-63                                   1.0,1.1,1.2 + 1 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-datagrid73-openshift                     docker-registry.default.svc:5000/openshift/jboss-datagrid73-openshift                     1.0                               2 days ago
openshift        imagestream.image.openshift.io/jboss-datavirt63-driver-openshift              docker-registry.default.svc:5000/openshift/jboss-datavirt63-driver-openshift              1.1,1.0                           2 days ago
openshift        imagestream.image.openshift.io/jboss-datavirt63-openshift                     docker-registry.default.svc:5000/openshift/jboss-datavirt63-openshift                     1.0,1.1,1.2 + 2 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-decisionserver64-openshift               docker-registry.default.svc:5000/openshift/jboss-decisionserver64-openshift               1.0,1.1,1.2 + 4 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-eap64-openshift                          docker-registry.default.svc:5000/openshift/jboss-eap64-openshift                          1.3,1.4,latest + 7 more...        2 days ago
openshift        imagestream.image.openshift.io/jboss-eap70-openshift                          docker-registry.default.svc:5000/openshift/jboss-eap70-openshift                          1.3,1.4,1.5 + 2 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-eap71-openshift                          docker-registry.default.svc:5000/openshift/jboss-eap71-openshift                          1.1,1.2,1.3 + 2 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-eap72-openshift                          docker-registry.default.svc:5000/openshift/jboss-eap72-openshift                          1.0,latest                        2 days ago
openshift        imagestream.image.openshift.io/jboss-fuse70-console                           docker-registry.default.svc:5000/openshift/jboss-fuse70-console                           1.0                               2 days ago
openshift        imagestream.image.openshift.io/jboss-fuse70-eap-openshift                     docker-registry.default.svc:5000/openshift/jboss-fuse70-eap-openshift                     1.0                               2 days ago
openshift        imagestream.image.openshift.io/jboss-fuse70-java-openshift                    docker-registry.default.svc:5000/openshift/jboss-fuse70-java-openshift                    1.0                               2 days ago
openshift        imagestream.image.openshift.io/jboss-fuse70-karaf-openshift                   docker-registry.default.svc:5000/openshift/jboss-fuse70-karaf-openshift                   1.0                               2 days ago
openshift        imagestream.image.openshift.io/jboss-processserver64-openshift                docker-registry.default.svc:5000/openshift/jboss-processserver64-openshift                1.0,1.1,1.2 + 4 more...           2 days ago
openshift        imagestream.image.openshift.io/jboss-webserver30-tomcat7-openshift            docker-registry.default.svc:5000/openshift/jboss-webserver30-tomcat7-openshift            1.1,1.2,1.3                       2 days ago
openshift        imagestream.image.openshift.io/jboss-webserver30-tomcat8-openshift            docker-registry.default.svc:5000/openshift/jboss-webserver30-tomcat8-openshift            1.1,1.2,1.3                       2 days ago
openshift        imagestream.image.openshift.io/jboss-webserver31-tomcat7-openshift            docker-registry.default.svc:5000/openshift/jboss-webserver31-tomcat7-openshift            1.0,1.1,1.2                       2 days ago
openshift        imagestream.image.openshift.io/jboss-webserver31-tomcat8-openshift            docker-registry.default.svc:5000/openshift/jboss-webserver31-tomcat8-openshift            1.2,1.0,1.1                       2 days ago
openshift        imagestream.image.openshift.io/jenkins                                        docker-registry.default.svc:5000/openshift/jenkins                                        latest,1,2                        2 days ago
openshift        imagestream.image.openshift.io/mariadb                                        docker-registry.default.svc:5000/openshift/mariadb                                        10.1,10.2,latest                  2 days ago
openshift        imagestream.image.openshift.io/mongodb                                        docker-registry.default.svc:5000/openshift/mongodb                                        3.6,latest,2.4 + 3 more...        2 days ago
openshift        imagestream.image.openshift.io/mysql                                          docker-registry.default.svc:5000/openshift/mysql                                          5.5,5.6,5.7 + 1 more...           2 days ago
openshift        imagestream.image.openshift.io/nginx                                          docker-registry.default.svc:5000/openshift/nginx                                          1.10,1.12,1.8 + 1 more...         2 days ago
openshift        imagestream.image.openshift.io/nodejs                                         docker-registry.default.svc:5000/openshift/nodejs                                         8-RHOAR,latest,0.10 + 4 more...   2 days ago
